rank_test_score,mean_test_score,std_test_score,param_learning_rate,param_max_depth,param_num_leaves,param_reg_alpha,param_reg_lambda
216,0.5672695279194826,0.05393793479494189,0.1,5,15,0.0,0.0
217,0.5670425300248241,0.03813489619294118,0.2,5,31,0.0,0.0
218,0.5666384756321775,0.05335102022019838,0.05,5,31,1.0,0.1
219,0.5663623968524147,0.0700643305876786,0.2,3,7,0.1,0.1
220,0.5656712631664009,0.07736393604551585,0.2,3,15,1.0,0.0
220,0.5656712631664009,0.07736393604551585,0.2,3,31,1.0,0.0
222,0.5653712677685194,0.06611651944024764,0.05,7,31,0.1,0.1
223,0.5636532017704602,0.06277551042176738,0.1,7,7,0.1,0.0
224,0.5636104588223756,0.05614212536346506,0.2,3,15,0.1,0.1
224,0.5636104588223756,0.05614212536346506,0.2,3,31,0.1,0.1
226,0.5635994841174037,0.05071526611079128,0.05,7,31,1.0,1.0
227,0.5634832875982826,0.06782051981949175,0.2,3,15,0.1,1.0
227,0.5634832875982826,0.06782051981949175,0.2,3,31,0.1,1.0
229,0.5616305295311166,0.06240498799623388,0.05,7,31,0.1,0.0
230,0.5615799980988173,0.0681342631914881,0.2,7,7,0.0,0.1
231,0.5615451675549165,0.06089116338959935,0.05,7,31,1.0,0.1
232,0.5598630034791877,0.07047731399754176,0.2,3,31,0.0,0.1
232,0.5598630034791877,0.07047731399754176,0.2,3,15,0.0,0.1
234,0.5597311292341012,0.0629744373631034,0.2,5,7,0.0,0.0
235,0.559447601872341,0.06072473062217959,0.2,5,7,0.1,0.0
236,0.5560662944996797,0.05821679454875682,0.2,3,7,0.0,0.0
237,0.5556903555781905,0.0725929199591483,0.2,5,7,0.1,0.1
238,0.5548053482007046,0.08150431148501541,0.2,7,7,0.1,0.1
239,0.5547427045491973,0.07103967611368438,0.2,3,15,0.1,0.0
239,0.5547427045491973,0.07103967611368438,0.2,3,31,0.1,0.0
241,0.5504408595168327,0.050870261876643,0.2,3,7,0.1,0.0
242,0.5465053853365687,0.08274385438779416,0.2,7,7,0.0,0.0
243,0.545276697577647,0.03786239809469625,0.2,5,15,0.0,0.0
